능동 경추 회전-측면 굽힘,능동 누운자세 경추 회전 80도,수동 누운자세 경추 회전 80도,수동 누운자세 C1-C2 경추 굴곡-회전 40도,result
능동 경추 회전-측면 굽힘:X_P:0_3:false,능동 누운자세 경추 회전 80도:X_P:1_4:false,수동 누운자세 경추 회전 80도:X_P:1_5:false,수동 누운자세 C1-C2 경추 굴곡-회전 40도:P:1_6:true,NaN
능동 경추 회전-측면 굽힘:X_P:0_3:false,능동 누운자세 경추 회전 80도:X_P:1_4:false,수동 누운자세 경추 회전 80도:X_P:1_5:false,수동 누운자세 C1-C2 경추 굴곡-회전 40도:X:1_6:true,NaN
능동 경추 회전-측면 굽힘:X_P:0_3:false,능동 누운자세 경추 회전 80도:X_P:1_4:false,수동 누운자세 경추 회전 80도:X_P:1_5:false,수동 누운자세 C1-C2 경추 굴곡-회전 40도:O:1_6:true,NaN
능동 경추 회전-측면 굽힘:X_P:0_3:false,능동 누운자세 경추 회전 80도:X_P:1_4:false,수동 누운자세 경추 회전 80도:O:1_5:true,NaN
능동 경추 회전-측면 굽힘:X_P:0_3:false,능동 누운자세 경추 회전 80도:O:1_4:true,NaN
능동 경추 회전-측면 굽힘:O:0_3:false,NaN
