능동 경추 신전,수동 누운자세 경추 신전,result
능동 경추 신전:X_P:0_2:false,수동 누운자세 경추 신전:P:1_7:true,NaN
능동 경추 신전:X_P:0_2:false,수동 누운자세 경추 신전:X:1_7:true,NaN
능동 경추 신전:X_P:0_2:false,수동 누운자세 경추 신전:O:1_7:true,NaN
능동 경추 신전:O:0_2:false,NaN
